Timestamp,actual_load,forecast_load,error,error_percent
2025-06-01 00:00:00,,1054.9487317488238,,
2025-06-01 01:00:00,,1048.292601109434,,
2025-06-01 02:00:00,,1034.6933629434327,,
2025-06-01 03:00:00,,1037.7355998079033,,
2025-06-01 04:00:00,,1072.1138483187617,,
2025-06-01 05:00:00,,1095.1480003974098,,
2025-06-01 06:00:00,,1190.4653695380462,,
2025-06-01 07:00:00,,1312.0415679197276,,
2025-06-01 08:00:00,,1373.718662692502,,
2025-06-01 09:00:00,,1443.3204880963472,,
2025-06-01 10:00:00,,1436.6327461909618,,
2025-06-01 11:00:00,,1456.5995700778594,,
2025-06-01 12:00:00,,1451.4650590432639,,
2025-06-01 13:00:00,,1436.1805246498468,,
2025-06-01 14:00:00,,1463.7537086859998,,
2025-06-01 15:00:00,,1445.3051252465789,,
2025-06-01 16:00:00,,1439.2631377976509,,
2025-06-01 17:00:00,,1485.5874175364584,,
2025-06-01 18:00:00,,1528.8214605919602,,
2025-06-01 19:00:00,,1597.7741903015458,,
2025-06-01 20:00:00,,1674.7489839978828,,
2025-06-01 21:00:00,,1603.5722891548075,,
2025-06-01 22:00:00,,1498.442911267579,,
2025-06-01 23:00:00,,1325.5217503612027,,
2025-06-02 00:00:00,,1199.901381546028,,
2025-06-02 01:00:00,,1194.9631345693365,,
2025-06-02 02:00:00,,1178.3099874623006,,
2025-06-02 03:00:00,,1172.147026732074,,
2025-06-02 04:00:00,,1204.3063983729548,,
2025-06-02 05:00:00,,1223.673144809932,,
2025-06-02 06:00:00,,1320.5298861201006,,
2025-06-02 07:00:00,,1434.4838210015891,,
2025-06-02 08:00:00,,1502.116711683989,,
2025-06-02 09:00:00,,1560.6458017094628,,
2025-06-02 10:00:00,,1576.696421761212,,
2025-06-02 11:00:00,,1596.67932412266,,
2025-06-02 12:00:00,,1599.4995502295726,,
2025-06-02 13:00:00,,1593.8111065638013,,
2025-06-02 14:00:00,,1596.420182176899,,
2025-06-02 15:00:00,,1587.3910755057223,,
2025-06-02 16:00:00,,1595.1916102247949,,
2025-06-02 17:00:00,,1608.342280262855,,
2025-06-02 18:00:00,,1664.5275323365756,,
2025-06-02 19:00:00,,1729.3387837101607,,
2025-06-02 20:00:00,,1802.458130827579,,
2025-06-02 21:00:00,,1746.9456330636367,,
2025-06-02 22:00:00,,1655.2340642987265,,
2025-06-02 23:00:00,,1448.74295514817,,
2025-06-03 00:00:00,,1197.113048509015,,
2025-06-03 01:00:00,,1184.328907446788,,
2025-06-03 02:00:00,,1175.0567810235407,,
2025-06-03 03:00:00,,1191.156971673979,,
2025-06-03 04:00:00,,1215.0874224139786,,
2025-06-03 05:00:00,,1236.0662538050576,,
2025-06-03 06:00:00,,1335.6265983883902,,
2025-06-03 07:00:00,,1449.629759382074,,
2025-06-03 08:00:00,,1532.6625461011936,,
2025-06-03 09:00:00,,1573.3424329454015,,
2025-06-03 10:00:00,,1600.6469265696976,,
2025-06-03 11:00:00,,1598.057706458206,,
2025-06-03 12:00:00,,1602.4531095536304,,
2025-06-03 13:00:00,,1603.854906754392,,
2025-06-03 14:00:00,,1595.2414723880663,,
2025-06-03 15:00:00,,1590.6492187851632,,
