Timestamp,forecast_avg_load,forecast_peak_load
2025-06-01,1499.8410010567966,2179.8139566658656
2025-07-01,1499.8311506391726,2179.2130766659966
2025-08-01,1499.8213002215487,2178.612196666128
2025-09-01,1499.8114498039247,2178.011316666259
2025-10-01,1499.8015993863007,2177.41043666639
2025-11-01,1499.7917489686768,2176.809556666521
2025-12-01,1499.7818985510528,2176.2086766666525
2026-01-01,1499.772048133429,2175.6077966667835
2026-02-01,1499.762197715805,2175.0069166669145
2026-03-01,1499.7523472981811,2174.4060366670456
2026-04-01,1499.7424968805572,2173.805156667177
2026-05-01,1499.7326464629332,2173.204276667308
2026-06-01,1499.7227960453092,2172.603396667439
2026-07-01,1499.7129456276853,2172.00251666757
2026-08-01,1499.7030952100613,2171.4016366677015
2026-09-01,1499.6932447924373,2170.8007566678325
2026-10-01,1499.6833943748134,2170.1998766679635
2026-11-01,1499.6735439571894,2169.5989966680945
2026-12-01,1499.6636935395654,2168.998116668226
2027-01-01,1499.6538431219415,2168.397236668357
2027-02-01,1499.6439927043175,2167.796356668488
2027-03-01,1499.6341422866935,2167.195476668619
2027-04-01,1499.6242918690696,2166.5945966687505
2027-05-01,1499.6144414514456,2165.9937166688815
2027-06-01,1499.6045910338216,2165.3928366690125
2027-07-01,1499.5947406161977,2164.7919566691435
2027-08-01,1499.5848901985737,2164.191076669275
2027-09-01,1499.5750397809497,2163.590196669406
2027-10-01,1499.5651893633258,2162.989316669537
2027-11-01,1499.5553389457018,2162.388436669668
2027-12-01,1499.5454885280778,2161.7875566697994
2028-01-01,1499.5356381104539,2161.1866766699304
2028-02-01,1499.52578769283,2160.5857966700614
2028-03-01,1499.515937275206,2159.9849166701924
2028-04-01,1499.506086857582,2159.384036670324
2028-05-01,1499.496236439958,2158.783156670455
