Timestamp,actual_load,forecast_load,error,error_percent,horizon
2025-06-01 00:00:00,,1065.9389114980825,,,future
2025-06-01 00:15:00,,1039.3011575191365,,,future
2025-06-01 00:30:00,,1054.0343847969891,,,future
2025-06-01 00:45:00,,1060.5204731810875,,,future
2025-06-01 01:00:00,,1049.3436174502044,,,future
2025-06-01 01:15:00,,1056.587745500977,,,future
2025-06-01 01:30:00,,1029.4685050834973,,,future
2025-06-01 01:45:00,,1057.7705364030567,,,future
2025-06-01 02:00:00,,1041.7322269382078,,,future
2025-06-01 02:15:00,,1034.2235638060897,,,future
2025-06-01 02:30:00,,1023.1219951414552,,,future
2025-06-01 02:45:00,,1039.695665887978,,,future
2025-06-01 03:00:00,,1029.188722168193,,,future
2025-06-01 03:15:00,,1026.5763279029834,,,future
2025-06-01 03:30:00,,1033.7325202062784,,,future
2025-06-01 03:45:00,,1061.444828954158,,,future
2025-06-01 04:00:00,,1055.639112150914,,,future
2025-06-01 04:15:00,,1085.1462885867422,,,future
2025-06-01 04:30:00,,1075.85940085838,,,future
2025-06-01 04:45:00,,1071.810591679011,,,future
2025-06-01 05:00:00,,1087.5126426263887,,,future
2025-06-01 05:15:00,,1085.181712438655,,,future
2025-06-01 05:30:00,,1082.203793224421,,,future
2025-06-01 05:45:00,,1125.693853300174,,,future
2025-06-01 06:00:00,,1139.2722388756276,,,future
2025-06-01 06:15:00,,1183.3566637863278,,,future
2025-06-01 06:30:00,,1226.2727274788901,,,future
2025-06-01 06:45:00,,1212.9598480113386,,,future
2025-06-01 07:00:00,,1290.908729208193,,,future
2025-06-01 07:15:00,,1306.4546360165639,,,future
2025-06-01 07:30:00,,1316.5402189332624,,,future
2025-06-01 07:45:00,,1334.2626875208916,,,future
2025-06-01 08:00:00,,1344.875127561093,,,future
2025-06-01 08:15:00,,1358.7343202090115,,,future
2025-06-01 08:30:00,,1369.5656050489333,,,future
2025-06-01 08:45:00,,1421.69959795097,,,future
2025-06-01 09:00:00,,1445.3163681716978,,,future
2025-06-01 09:15:00,,1426.9436631435121,,,future
2025-06-01 09:30:00,,1464.9943006744254,,,future
2025-06-01 09:45:00,,1436.0276203957535,,,future
2025-06-01 10:00:00,,1418.86897030803,,,future
2025-06-01 10:15:00,,1448.1295531811081,,,future
2025-06-01 10:30:00,,1432.393343195892,,,future
2025-06-01 10:45:00,,1447.1391180788175,,,future
2025-06-01 11:00:00,,1445.6730036506572,,,future
2025-06-01 11:15:00,,1435.551017199204,,,future
2025-06-01 11:30:00,,1480.5742568626265,,,future
2025-06-01 11:45:00,,1464.6000025989504,,,future
2025-06-01 12:00:00,,1447.999333224029,,,future
2025-06-01 12:15:00,,1453.0217451898689,,,future
2025-06-01 12:30:00,,1465.1801214196287,,,future
2025-06-01 12:45:00,,1439.6590363395292,,,future
2025-06-01 13:00:00,,1443.6312115801172,,,future
2025-06-01 13:15:00,,1443.4330790544707,,,future
2025-06-01 13:30:00,,1426.006035552567,,,future
2025-06-01 13:45:00,,1431.651772412232,,,future
2025-06-01 14:00:00,,1477.772780373842,,,future
2025-06-01 14:15:00,,1468.781651787489,,,future
2025-06-01 14:30:00,,1437.2932004974705,,,future
2025-06-01 14:45:00,,1471.167202085198,,,future
2025-06-01 15:00:00,,1446.9234347427162,,,future
2025-06-01 15:15:00,,1436.7611752147704,,,future
2025-06-01 15:30:00,,1451.0595785913472,,,future
2025-06-01 15:45:00,,1446.4763124374813,,,future
2025-06-01 16:00:00,,1413.727364844458,,,future
2025-06-01 16:15:00,,1420.5140884534458,,,future
2025-06-01 16:30:00,,1456.4213974956194,,,future
2025-06-01 16:45:00,,1466.3897003970808,,,future
2025-06-01 17:00:00,,1468.0088712901452,,,future
2025-06-01 17:15:00,,1464.7234335322337,,,future
2025-06-01 17:30:00,,1481.5574589335506,,,future
2025-06-01 17:45:00,,1528.0599063899035,,,future
2025-06-01 18:00:00,,1483.0441114299883,,,future
2025-06-01 18:15:00,,1522.9696399545296,,,future
2025-06-01 18:30:00,,1553.361003980959,,,future
2025-06-01 18:45:00,,1555.911087002364,,,future
2025-06-01 19:00:00,,1546.4257183285017,,,future
2025-06-01 19:15:00,,1602.9470735199168,,,future
2025-06-01 19:30:00,,1609.9985174420449,,,future
2025-06-01 19:45:00,,1631.7254519157195,,,future
2025-06-01 20:00:00,,1673.1140385051328,,,future
2025-06-01 20:15:00,,1657.754763024998,,,future
2025-06-01 20:30:00,,1683.744187064651,,,future
2025-06-01 20:45:00,,1684.382947396749,,,future
2025-06-01 21:00:00,,1659.3846959450227,,,future
2025-06-01 21:15:00,,1611.1326353263407,,,future
2025-06-01 21:30:00,,1592.6670451120106,,,future
2025-06-01 21:45:00,,1551.1047802358562,,,future
2025-06-01 22:00:00,,1550.6449806640503,,,future
2025-06-01 22:15:00,,1506.419224034795,,,future
2025-06-01 22:30:00,,1463.7169787063121,,,future
2025-06-01 22:45:00,,1472.9904616651586,,,future
2025-06-01 23:00:00,,1396.3134813410995,,,future
2025-06-01 23:15:00,,1340.1529547094447,,,future
2025-06-01 23:30:00,,1310.7908318985428,,,future
2025-06-01 23:45:00,,1254.8297334957238,,,future
2025-06-02 00:00:00,,1218.791765277363,,,future
2025-06-02 00:15:00,,1200.5246230923356,,,future
2025-06-02 00:30:00,,1197.5278298345459,,,future
2025-06-02 00:45:00,,1182.761307979867,,,future
2025-06-02 01:00:00,,1216.758176565232,,,future
2025-06-02 01:15:00,,1205.7795111954172,,,future
2025-06-02 01:30:00,,1176.1996326763979,,,future
2025-06-02 01:45:00,,1181.115217840299,,,future
2025-06-02 02:00:00,,1176.1072555058117,,,future
2025-06-02 02:15:00,,1200.7893331358416,,,future
2025-06-02 02:30:00,,1163.1550666381772,,,future
2025-06-02 02:45:00,,1173.1882945693715,,,future
2025-06-02 03:00:00,,1155.6837262618342,,,future
2025-06-02 03:15:00,,1172.191761904632,,,future
2025-06-02 03:30:00,,1182.7669946935935,,,future
2025-06-02 03:45:00,,1177.9456240682362,,,future
2025-06-02 04:00:00,,1193.7339023145819,,,future
2025-06-02 04:15:00,,1185.441923307241,,,future
2025-06-02 04:30:00,,1217.3119214666954,,,future
2025-06-02 04:45:00,,1220.7378464033013,,,future
2025-06-02 05:00:00,,1204.5553577465541,,,future
2025-06-02 05:15:00,,1217.0436923801406,,,future
2025-06-02 05:30:00,,1216.8356956048503,,,future
2025-06-02 05:45:00,,1256.2578335081828,,,future
2025-06-02 06:00:00,,1275.5301233655584,,,future
2025-06-02 06:15:00,,1317.6402170879078,,,future
2025-06-02 06:30:00,,1312.7120224781572,,,future
2025-06-02 06:45:00,,1376.2371815487788,,,future
2025-06-02 07:00:00,,1394.465792039469,,,future
2025-06-02 07:15:00,,1424.258431100573,,,future
2025-06-02 07:30:00,,1430.7337330928385,,,future
2025-06-02 07:45:00,,1488.4773277734762,,,future
2025-06-02 08:00:00,,1462.0383876625892,,,future
2025-06-02 08:15:00,,1489.0363110370408,,,future
2025-06-02 08:30:00,,1515.8238277086357,,,future
2025-06-02 08:45:00,,1541.5683203276903,,,future
2025-06-02 09:00:00,,1540.9093678767313,,,future
2025-06-02 09:15:00,,1573.9955767482447,,,future
2025-06-02 09:30:00,,1586.6876493665002,,,future
2025-06-02 09:45:00,,1540.9906128463754,,,future
2025-06-02 10:00:00,,1583.908795325759,,,future
2025-06-02 10:15:00,,1572.4505413319994,,,future
2025-06-02 10:30:00,,1575.7451937808567,,,future
2025-06-02 10:45:00,,1574.681156606233,,,future
2025-06-02 11:00:00,,1575.1174912942,,,future
2025-06-02 11:15:00,,1602.8277652838972,,,future
2025-06-02 11:30:00,,1613.728964109502,,,future
2025-06-02 11:45:00,,1595.0430758030411,,,future
2025-06-02 12:00:00,,1614.6825661205687,,,future
2025-06-02 12:15:00,,1600.6018931742483,,,future
2025-06-02 12:30:00,,1583.5971412177194,,,future
2025-06-02 12:45:00,,1599.116600405754,,,future
