Timestamp,scenario,forecast_avg_load,forecast_peak_load
2025-06-01,low_demand,1395.6066875555068,1947.6000883202003
2025-07-01,low_demand,1377.4516877435324,1934.6988365949132
2025-08-01,low_demand,1368.0742762644625,1895.9722212471502
2025-09-01,low_demand,1357.0271890153097,1874.9073651196877
2025-10-01,low_demand,1328.254943589151,1852.6902153631925
2025-11-01,low_demand,1341.3990709525872,1894.4033628476475
2025-12-01,low_demand,1303.7104377091262,1898.613103631039
2026-01-01,low_demand,1327.4284295158045,1902.9415893960563
2026-02-01,low_demand,1341.0996370474754,1864.3030002306348
2026-03-01,low_demand,1466.8099294301746,2004.735256682463
2026-04-01,low_demand,1470.2984542986067,1981.6074158830145
2026-05-01,low_demand,1464.8829929339786,2015.55785984
2026-06-01,low_demand,1403.98032768084,1959.2856888501215
2026-07-01,low_demand,1385.716397869994,1946.3070296144829
2026-08-01,low_demand,1376.2827219220494,1907.3480545746331
2026-09-01,low_demand,1365.1693521494014,1886.1568093104056
2026-10-01,low_demand,1336.224473250686,1863.806356655372
2026-11-01,low_demand,1349.4474653783027,1905.7697830247334
2026-12-01,low_demand,1311.5327003353807,1910.0047822528247
2027-01-01,low_demand,1335.3930000928992,1914.3592389324326
2027-02-01,low_demand,1349.1462348697603,1875.488818232019
2027-03-01,low_demand,1475.6107890067558,2016.7636682225577
2027-04-01,low_demand,1479.1202450243984,1993.4970603783129
2027-05-01,low_demand,1473.6722908915824,2027.6512069990397
2027-06-01,low_demand,1412.404209646925,1971.0414029832225
2027-07-01,low_demand,1394.0306962572138,1957.9848717921698
2027-08-01,low_demand,1384.5404182535815,1918.7921429020805
2027-09-01,low_demand,1373.360368262298,1897.473750166268
2027-10-01,low_demand,1344.2418200901902,1874.989194795304
2027-11-01,low_demand,1357.5441501705723,1917.2044017228818
2027-12-01,low_demand,1319.4018965373932,1921.4648109463421
2028-01-01,low_demand,1343.4053580934567,1925.8453943660272
2028-02-01,low_demand,1357.2411122789788,1886.7417511414105
2028-03-01,low_demand,1484.4644537407962,2028.8642502318933
2028-04-01,low_demand,1487.9949664945445,2005.4580427405826
2028-05-01,low_demand,1482.514324636932,2039.8171142410342
2025-06-01,baseline,1455.1942117700883,2030.755800067594
2025-07-01,baseline,1437.6840083031682,2019.2981017081852
2025-08-01,baseline,1429.3082262760474,1980.834476340644
2025-09-01,baseline,1419.1683439659973,1960.7633524110179
2025-10-01,baseline,1390.4518581169914,1939.444355091923
2025-11-01,baseline,1405.5997356668229,1985.0713510439816
2025-12-01,baseline,1367.4578791559945,1991.4494606572612
2026-01-01,baseline,1393.7121298265747,1997.962915755955
2026-02-01,baseline,1409.4580678339842,1959.3301138662155
2026-03-01,baseline,1543.1001231038385,2109.0034634406093
2026-04-01,baseline,1548.2992917727643,2086.733716962894
